copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\011__KMPC035_REFERENCE_RESULT.json	scripts\results\k_mpc_005\RUN_KMPC_035_P5_3G7_CDI_C2_SUPPORT_03_05_LADDER.json	raw-reference	A9BD519F9124B80E648EE327A3C2175A5E9DC3D65B02EB1CFD7F119333E42A01	A9BD519F9124B80E648EE327A3C2175A5E9DC3D65B02EB1CFD7F119333E42A01	cross-platform comparison reference
EVIDENCE\012__PYTHON_FORMAL_ERROR_LEDGER.md	scripts\00_PYTHON_FORMAL_ERROR_LEDGER.md	process-history	C3DC3B627C6AD726394B82C2315EDD0B2632315BA79FE1828F54C3D3D78E6E3F	C3DC3B627C6AD726394B82C2315EDD0B2632315BA79FE1828F54C3D3D78E6E3F	PF-070 and PF-071
EVIDENCE\013__KNOWN_PYTHON_ERROR_PATTERNS.md	scripts\00_KNOWN_PYTHON_ERROR_PATTERNS.md	process-checklist	61B5DC4C3351A2FCC4E151BF6166F0DC2E42EDC6B8352C4AC9E33E2A914179D9	61B5DC4C3351A2FCC4E151BF6166F0DC2E42EDC6B8352C4AC9E33E2A914179D9	runtime closure and publish patterns
EVIDENCE\014__EA005_REPRODUCTION_CLOSURE_RUNNER.py	External_Audits\TOOLS\kmpc035_external_reproduction_closure.py	technical-successor	C2FDFAA077E903AB54FEDAB7E3B00F6CA98C93B8A6CEC631B0528852B0F2D3CA	C2FDFAA077E903AB54FEDAB7E3B00F6CA98C93B8A6CEC631B0528852B0F2D3CA	repaired package-local harness
EVIDENCE\015__BASE_CDI_C1_COVERAGE.py	scripts\baseScripts\p5_general_synchronous\cdi_c1_coverage.py	primary-base	D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F	D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F	import closure
EVIDENCE\016__BASE_FULL_RA_B1_PREFLIGHT.py	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight.py	primary-base	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	import closure
EVIDENCE\017__BASE_FULL_RA_B1_PREFLIGHT_V2.py	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight_v2.py	primary-base	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	import closure
EVIDENCE\018__BASE_FULL_RA_CONTRACT.py	scripts\baseScripts\p5_general_synchronous\full_ra_contract.py	primary-base	F3839DA931D24939FA9C5925FD29B1484E722D1A0F24117DC91EBE5F4436D464	F3839DA931D24939FA9C5925FD29B1484E722D1A0F24117DC91EBE5F4436D464	import closure
EVIDENCE\019__BASE_FULL_RA_M3_SEED.py	scripts\baseScripts\p5_general_synchronous\full_ra_m3_seed.py	primary-base	070F217B45A385369ECAFAA3D409A1210BAE3C3AF8A600A9171225B258751BF2	070F217B45A385369ECAFAA3D409A1210BAE3C3AF8A600A9171225B258751BF2	import closure
EVIDENCE\020__BASE_MODE_RESOLVED.py	scripts\baseScripts\p5_general_synchronous\mode_resolved_puiseux.py	primary-base	5A89CF82006CB5ECC1D8B4BE1FD56A463453EE3D6261968CB64DE8CCF2C8B7AE	5A89CF82006CB5ECC1D8B4BE1FD56A463453EE3D6261968CB64DE8CCF2C8B7AE	import closure
EVIDENCE\021__BASE_MODE_ANCHORED.py	scripts\baseScripts\p5_general_synchronous\mode_resolved_puiseux_v2_m1_anchored.py	primary-base	5DE2C280B0E9DAF528A9E3011368361B37AE53DE38827FB6F6CE4AB2019A4455	5DE2C280B0E9DAF528A9E3011368361B37AE53DE38827FB6F6CE4AB2019A4455	import closure
EVIDENCE\022__BASE_S1_COLLECTIVE_CONTRACT.py	scripts\baseScripts\p5_general_synchronous\s1_collective_contract.py	primary-base	F535EE15137BBD6F9C0379821C9CC94DED8EC56037B6105B75BEF65A5884EE68	F535EE15137BBD6F9C0379821C9CC94DED8EC56037B6105B75BEF65A5884EE68	import closure
EVIDENCE\023__BASE_S_C0_PASSPORT.py	scripts\baseScripts\p5_general_synchronous\s_c0_coefficient_passport.py	primary-base	C370B610815AFAC345C990E3CFE516D616873F39598F468A5ADBF2C65A2A6B95	C370B610815AFAC345C990E3CFE516D616873F39598F468A5ADBF2C65A2A6B95	import closure
EVIDENCE\024__BASE_S_C0_PASSPORT_V2.py	scripts\baseScripts\p5_general_synchronous\s_c0_coefficient_passport_v2_numpy_scalar.py	primary-base	06EE03C939FBCCFA6FA130421EEF98D0B8CC7571937EF02A7A46A57367534C11	06EE03C939FBCCFA6FA130421EEF98D0B8CC7571937EF02A7A46A57367534C11	import closure
