"runtime_path"	"role"	"sha256"	"required_by"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_141_P5_3G7_C3_BI_K0p15_ZERO_VARIANT_PAIR_LOCAL_45S_HP_M1_EXACT_RESUME_SUPERSESSION_SCOPE_CORRECTED.json"	"runtime-prerequisite"	"6F44B553BD01BB0516389643511C2858D0EBEA61380C4A8ABFE4E572909231A2"	"PAIR_SPECS BI/.15"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NID_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"2CBAD040FAA3D031CF699A7DFBC31F08E0C14C4E81B63BCBFBC1F3F67C0FD524"	"PAIR_SPECS NID/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_143_P5_3G7_C3_NID_K0p05_ZERO_VARIANT_PAIR_SAME_MATRIX_REFINEMENT.json"	"runtime-prerequisite"	"2F461DF24C4E7490A40411FCBDC2B98EEF4ADC19ACAFCAFDCA9007501B7D447F"	"PAIR_SPECS NID/.05"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_145_P5_3G7_C3_NID_K0p15_PARITY_SCOPE_CORRECTION.json"	"runtime-prerequisite"	"226BF91F7DF12953D0DF53C2CEC676190067FA8D782211C68507FA8EAD874D6A"	"PAIR_SPECS NID/.15"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p005_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"9088E7D8470E3F4CD118025ECA266646883A76ED87BED69B3FA1DCCEBB0FD156"	"PAIR_SPECS NIV/.005"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p05_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"9E8E7D0F22D471E3C806DDBF5B2B4E587B209A537D55F1A8EFE259AC4F9DEFDD"	"PAIR_SPECS NIV/.05"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_147_P5_3G7_C3_NIV_K0p15_READ_ONLY_F0_PARITY_CORRECTION.json"	"runtime-prerequisite"	"2780A8D6527C892E1EF665B59D514DD94A95495D536C56DFE3332A113956B16E"	"PAIR_SPECS NIV/.15"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/206_KMPC_132_AND_C3_AD_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"runtime-prerequisite-authority"	"E430A1114A5E4C06AF2319FAFF4428C11FC6F37FDAB34719FC22C8D2FC4D5F9E"	"MODE_AUTHORITIES AD"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/208_KMPC_131_133_C3_CDI_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"runtime-prerequisite-authority"	"AAF33790FDE59BA22F48021096DEA1FA9606F1115F2F61BA4933D0E35BCE222A"	"MODE_AUTHORITIES CDI"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/218_KMPC_138_141_C3_BI_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"runtime-prerequisite-authority"	"A6EA261E29733033090318CEE321C2C235F61584AB742CED13A3C12FF4D913F7"	"MODE_AUTHORITIES BI"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/231_KMPC_131_145_C3_NID_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"runtime-prerequisite-authority"	"AEAF523FFFBAEC208C20063325B58E2F9BE6FEE1FAA69128262074FF37581445"	"MODE_AUTHORITIES NID"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/241_KMPC_131_146_147_C3_NIV_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"runtime-prerequisite-authority"	"E979E0554153E9143F0EAB20252811C229238F538D45EB6A921E0CD4F322417D"	"MODE_AUTHORITIES NIV"
