"condition_id","domain","quantity_or_condition","required_value_or_range","canonical_class","subtype_v3_18","status_v3_18","scope","external_reference_at_cutoff","comparison_prerequisites","impact_if_not_satisfied","possible_theory_life_impact","evidence_or_cross_reference","mandatory_nonclaim"
"EC11","stability","healthy linear system","no ghost; no forbidden gradient instability; no mandatory exponential mode beyond physical structure growth","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","PARTIAL_PRINCIPAL_SYMBOL_ONLY","each A2 track","no single universal numerical bound","kinetic matrix; characteristics; super/subhorizon modes; whole time range; physical norms","a proved unavoidable ghost or instability kills the formulation/track","POTENTIAL_TRACK_LEVEL","01 sections 6.1 and 9.2; 03 section 4","A high-k symbol without a growing root is not a complete no-ghost theorem."
"EC12","limits","correct null and standard limits","PT1 diagnostic comparator lambda=delta=Delta N_eff=0; separately lambda->0; k/(aH)->0 and ->infinity; perfect-radiation and relevant GR/LambdaCDM limits without discontinuity","EXACT_PHYSICAL_LAW","EXACT_LIMIT_REQUIREMENT","PARTIAL","each formulation under its contract","no tolerance except explicit approximation and numerical error","preregistered limits; same variables; no convention change; analytic plus numerical checks","a wrong mandatory limit kills the exact formulation","FORMULATION_LEVEL","01 sections 5–6; PT1 section 6.2; 03 sections 3–4","The PT1 triple-zero is a diagnostic comparator of that calculation; it is neither the null limit of full QCTS nor automatically full LambdaCDM."
"EC13","gravity","recovery of observed gravity","Newton 1/r^2 in weak fields followed by GR/PPN/lensing in their validated domains","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NEWTON_GRAPH_COMPARATOR_ONLY","macroscopic gravity limit","test- and model-specific bounds are not compressed into one v3.18 number","continuum action/metric; universal G; PPN; lensing; gravitational waves; EP","mismatch in one approximation kills that gravity realisation; failure of every realisation would be theory-level","POTENTIAL_THEORY_LEVEL_AFTER_EXHAUSTION","01 sections 4.8 and 7.7; Q32","A graph 1/r^2 fit is not a derivation of Einstein's equations."
"EC14","matter/SM","recovery of ordinary matter and validated quantum fields","stable matter; correct quantum numbers; local QFT/SM limit at tested energies","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","matter/ash/steam/scar ontology","no single aggregate tolerance","microphysical operator; symmetries; masses; couplings; statistics; laboratory observables","incompatibility kills the mapped realisation; impossibility of every SM limit would threaten the theory","POTENTIAL_THEORY_LEVEL_AFTER_EXHAUSTION","01 sections 1–2 and 7.4; Q31","Background ash or graph clustering does not prove Standard Model particle production."
"EC15","scar/quantum sector","physically admissible irreversible map","CPTP; trace preservation; no-signalling; Delta S>=0 when monotonic irreversibility is claimed","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","TOY_SCOPE_ONLY","scar/domain I and measurement reading","no tolerance for trace or positivity; entropy is state- and map-conditional","explicit register; microscopic operator; all inputs; Born rule; causality","CPTP/trace/no-signalling violation kills the map; entropy failure kills only the monotonic formulation","FORMULATION_LEVEL_UNLESS_EXHAUSTIVE","01 section 2.1; Q8","The toy dephasing test does not prove wave-function collapse or the arrow of time."
"EC16","observational completeness","joint data compatibility","one parameter/function set must pass BBN+CMB+BAO+LSS+lensing and relevant local tests","OBSERVATIONAL_SURVIVAL_TARGET","OBSERVATIONAL_EXISTENCE_CONDITION","NOT_YET_TESTABLE_FULL","complete cosmological realisation","no honest single rectangular interval exists","complete A2/A3 pipeline; frozen datasets; joint likelihood; theory errors; covariance; systematics; calibration/validation split","an empty joint observational intersection kills the exact realisation; a certified global empty set after exhaustion kills the theory","POTENTIAL_THEORY_LEVEL_AFTER_CERTIFIED_GLOBAL_EMPTY_SET","01 sections 6 and 12; 03 sections 1.1 and 4","Separate H0 S8 or N_eff agreement is not joint compatibility."
"EC17","network geometry","mean connectivity","<k>=48 pi^2/35+2≈15.535; historical simulations 15.58 and 15.32–15.54","MECHANISM_READING","MECHANISM_READING","HISTORICAL_SUPPORT","Poisson–Delaunay comparator and division-grown network","no direct observational bound","independent grown network; finite-size and anisotropy control; continuum limit","mismatch kills the specific geometry identification; not all QCTS","FORMULATION_LEVEL","01 section 4.1","Simulation numbers are not cosmological measurements."
"EC18","cell capacity","capacity C","C=16_gluon+8_EW+4_Higgs=28; the four real Higgs directions already include the three would-be Goldstone directions","MECHANISM_READING","MECHANISM_READING","LOOK_ELSEWHERE_ACKNOWLEDGED","exact capacity identification","no direct observational bound","independent derivation from symmetry or action; fixed phase/gauge convention; justification of the bosonic selection and fermion exclusion; look-elsewhere correction","failure kills the C=28 identification and deductions that necessarily depend on it","FORMULATION_LEVEL","01 section 4.3; Q16; Q28","The arithmetic 16+8+4=28 is consistent in the restored electroweak phase and the Goldstone directions are not added a second time; the physical identification of this bosonic count with cell capacity is nevertheless not derived."
"EC19","division/fluid","overhead delta","mean-field branch: delta_mean=1/(<k>+C)=0.0229697827528021; locally averaged branch: delta_loc=<1/(k+C)> >= delta_mean, strictly for nondegenerate P(k)","CALIBRATION_BENCHMARK","CONDITIONAL_MECHANISM_READING","FROZEN_BENCHMARK / COARSE_GRAINING_BRANCH_OPEN","exact geometry-to-fluid bridge","Planck ns 0.9649±0.0042 is relevant only through the P02 map","independent C derivation; choice of physical averaging; complete P(k) or controlled moments; micro-to-fluid map; then observables","algebraic mismatch is contradiction; observational mismatch kills the bridge only after complete mapping","FORMULATION_LEVEL","01 equations 1–3 and 5–7; P09","delta_loc=delta_mean+Var(k)/(<k>+C)^3-mu_3/(<k>+C)^4+...; for <k>=15.5354574643511 and C=28 the leading variance coefficient is 1.2119108203766e-5. Without P(k) or controlled moments no honest numerical delta_loc can be calculated."
"EC20","primordial perturbations","exponent m","m=1/2 in the current exact delta/m=1/2 scalar mechanism; the value has historical mechanistic and calculation provenance","MECHANISM_READING","MECHANISM_READING","NOT_DERIVED","exact current delta/m=1/2 scalar mechanism; prediction link P02","Planck ns 0.9649±0.0042 at 68% CL","gauge-invariant source; P_zeta; amplitude; Gaussianity; isocurvature; running","failure kills the exact m=1/2 mechanism; not every perturbation source","FORMULATION_LEVEL","01 section 6.5; P02","m=1/2 is not a theorem and must not be rescued by post-data fitting."
"EC21","background","A_f bookkeeping normalisation","A_f=7809.270101963506 at lambda=.15 delta=.02297 Omega_m0=.3517 h=.6637 flat x_ref=-18","CALIBRATION_BENCHMARK","CALIBRATION_BENCHMARK","CONDITIONAL_REPRODUCED","frozen A1 working point","no direct observational bound","same inputs and closure; independent numerical reproduction","arithmetic failure invalidates the normalisation; physical mismatch kills only the frozen closure","FORMULATION_LEVEL","01 section 5.2; EA-20260717-004","A_f is not a new fit or constant of nature."
"EC22","signal front","roughening exponent","chi≈0.26–0.32<1; then sigma/R tends to 0 in the model scaling","MECHANISM_READING","HISTORICAL_NUMERICAL_SUPPORT","DERIVED_WITHIN_SIMULATED_GRAPH","specific graph-growth process","no direct relativistic bound","larger N; analytic/continuum limit; map to physical signal","chi>=1 kills sublinear sharpening for that process; not causality of the whole theory","FORMULATION_LEVEL","01 section 4.4; Q6","The result does not prove a physical light cone or Lorentz invariance."
"EC23","V-links","classical rule and historical fit values","nV_new=.5 nV_old+.5 C; nV*=C; std/mean≈.13; boundary weight≈R^1.97","MECHANISM_READING","HISTORICAL_NUMERICAL_SUPPORT","OPEN_QUANTUM_MAP","specific classical update rule","no direct observational bound","independent quantum map; continuum limit; network robustness","mismatch kills the rule or fit within its scope","FORMULATION_LEVEL","01 section 4.7","A fixed point of the classical rule is not a quantum theorem."
"EC24","gravity","Newton graph comparator","|g(r)| proportional 1/r^2; historical R^2≈.9991 and .9996","CONDITIONAL_MODEL_OUTPUT","HISTORICAL_NUMERICAL_SUPPORT","SCOPE_NARROWED","exact simulated graph observables","no direct PPN bound","independent rerun; finite-size; continuum; then EC13","failure kills the comparator; not the theory's GR limit","FORMULATION_LEVEL","01 section 4.8","R^2 near one is not a truth probability or derivation of G."
"EC25","A2-K4","superhorizon algebra","P_SH(s)=s^3(s+2)^2(s+3)[s^2+(5-3delta)s+12-6delta]; three exact zero roots","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_G5_SCOPE","frozen superhorizon K4 operator","no observational tolerance","same signs; state order; gauge; adiabatic/NIV seeds; exact polynomial audit","polynomial mismatch invalidates the checkpoint; a forbidden mode can kill the formulation after science audit","FORMULATION_OR_TRACK_LEVEL","01 section 9.2 A2-K4.1","The old 0.978949 seed residual rejected the seed rather than the track."
"EC26","A2-K4","high-k principal symbol","P_high-k(mu)=mu^4(mu^2+1)(mu^2+1/3); speeds 1 and 1/sqrt(3); no growing K4 root in scope","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_G6_SCOPE","frozen high-k principal symbol","no observational tolerance","full kinetic matrix; subleading terms; whole time; physical norms","a positive growing root in the same operator invalidates the checkpoint and can kill the formulation","FORMULATION_OR_TRACK_LEVEL","01 section 9.2 A2-K4.2","The result is not a complete no-ghost or global-stability theorem."
"EC27","A2-K4","static Einstein residuals","R00=R0i=Rtr=Rtl=0 exactly","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_STATIC_SCOPE","P5.1–P5.2 static reconstruction","no tolerance beyond roundoff","independent equations; same state; dynamic evolution separately","nonzero exact algebra invalidates the checkpoint; dynamic drift is judged separately","FORMULATION_LEVEL","01 section 9.2 P5.1–P5.2","Four static zeros are not four independent observational confirmations."
"EC28","A2-K4","P5.3 whole-map discrimination before proof of one common local operator","first a complete A_Q(Z) with at least one certified Q; then a sourced actual X_Z or a proved-nonempty P1-P2-complete A_X(Z,Q); only then A_K(Z)={(Q,X,ker X)} and classification of ker X={0} versus a nonzero physical kernel witness or a proved mixed complete family","EXACT_PHYSICAL_LAW","OPEN_EXISTENCE_GATE","NOT_PROVED / PROCESS_COVERAGE_10_WAITING_0_EXCLUDED","P5.3 per-state tangent-map subgate; not a complete global-operator witness","no observational bound","complete overlap-resolved Q_Z; sourced actual whole X_Z or a proved-nonempty P1-P2-complete family; linearity; locality/local naturality; covariance; units; causal support; smoothness; generator provenance; descent through V_rel; W1-W4 only with complete overlap/image-independence proof","without N1/N2 the state is WAITING and no kernel inference is allowed. A nonzero physical kernel witness excludes only the exact PK1/I0 scope; injectivity only permits E_N and later gates; a mixed family remains WAITING. No kernel is empty and classification alone neither kills nor proves all of A2-K4","POTENTIAL_FORMULATION_SUBSCOPE","01 section 9.2 P5.3; 03 section 9; route event ledger N1-N3; current process coverage 10 WAITING / 0 EXCLUDED","Every kernel contains zero. Defining A_Q A_X or A_K does not by itself prove a member or one global local-natural operator across the full domain. 10 WAITING / 0 EXCLUDED 10/10 and 45/45 are process-coverage counts, not a physical witness."
"EC29","P01+P11","joint thermal steam formulation","for g_x=2 g_*s,nu=10.75 g_*s,dec=106.75: Delta N_eff=.0535; N_eff≈3.10; T≈.905 K; peak≈53 GHz","OBSERVATIONAL_SURVIVAL_TARGET","CONDITIONAL_OBSERVATIONAL_SURVIVAL_TARGET","SOURCE_HISTORY_OPEN","one two-polarisation early-decoupled formulation; P01 and P11 are one commitment","Planck+BAO single-parameter extension: N_eff=2.99±.17 at 68% CL","C_s^mu; branching; decoupling; exit/reheating; survival; BBN/CMB likelihood; source-to-spectrum; detector response","robust exclusion kills the exact thermal formulation; theory only after all steam realisations are exhausted","FORMULATION_LEVEL","P01; P11; 01 section 5.4; https://arxiv.org/abs/1807.06209","Delta N_eff N_eff T and peak are not four independent confirmations. The value 10.75 is a standard entropy-reference input rather than a new QCTS prediction."
"EC30","P02","scalar tilt","current v3.18 target n_s=.9656±.0016 for the exact delta/m=.5 mechanism; the value has historical calculation provenance","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","exact delta/m=.5 scalar mechanism","Planck: n_s=.9649±.0042 at 68% CL","gauge-invariant P_zeta; amplitude; Gaussianity; isocurvature; running; frozen likelihood","robust exclusion after a complete observable map kills the exact delta/m=.5 scalar mechanism","FORMULATION_LEVEL","P02; 01 section 6.5; https://arxiv.org/abs/1807.06211","The target is a current v3.18 commitment rather than a current posterior; its ±.0016 must not be confused with Planck uncertainty."
"EC31","P03","tensor ratio","current v3.18 sharp target r<1e-10; separate practical marker for the broader thermal realisation r>=1e-3; both have historical calculation provenance","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","sharp estimate and broader thermal tensor realisation","BICEP/Keck BK18: r_0.05<.036 at 95% CL; CMB-S4 forecast-only: detection r>0.003 at >5 sigma or r<0.001 at 95% CL with no detection","complete tensor operator; source; normalisation; pivot convention; B-mode likelihood and systematics","after a complete tensor-to-observable map r>=1e-10 kills the sharp estimate and r>=1e-3 kills the broader thermal realisation; broader theory only after exhaustion","FORMULATION_LEVEL","P03; https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.151301; https://arxiv.org/abs/2008.12619","The range 1e-10<=r<1e-3 rejects the sharp estimate without automatically satisfying the broader kill condition; CMB-S4 is a forecast and not a current kill condition."
"EC32","P04","Hubble constant","current v3.18 target 66.4±.4 km/s/Mpc; separate PT1 conditional diagnostic points Delta N_eff {0 0.02675 0.0535} -> H0 {65.79213819466531 66.08320294879377 66.37433224357665} km/s/Mpc; the values have historical calculation provenance","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_PLUS_CONDITIONAL_OUTPUTS_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","frozen background formulation","Planck 2018 base-LambdaCDM 67.4±.5 at 68% confidence; SH0ES 2022 Cepheid-SN 73.04±1.04 published uncertainty including systematics; Breuval et al. 2024 four-anchor Cepheid-SN 73.17±.86 published uncertainty; Chen-Wang 2026 seven-route covariance review 73.30±.92 km/s/Mpc published covariance-summary uncertainty; the sources do not use one shared CL convention","full A2/A3; sound horizon and recombination; selected independent datasets; joint likelihood; covariance/systematics; calibration split","complete incompatibility after a full observable and likelihood map kills the frozen background formulation; the three diagnostic points alone do not permit STOP","FORMULATION_LEVEL","P04; EA-047; https://arxiv.org/abs/1807.06209; https://arxiv.org/abs/2112.04510; https://arxiv.org/abs/2404.08038; https://arxiv.org/abs/2606.26831","The current target and three conditional diagnostic outputs are distinct objects; the points are not an interval likelihood fit or solution of the Hubble tension and conflicting measurements must not be merged into one hard window."
"EC33","P05","clustering","current v3.18 target S8=.86–.87; separate PT1 conditional diagnostic points Delta N_eff {0 0.02675 0.0535} -> S8 {.8856095825403126 .8800254370658636 .874499891729803}; the values have historical calculation provenance","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_PLUS_CONDITIONAL_OUTPUTS_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","simplified-growth formulation","KiDS-Legacy cosmic-shear marginal mode and 68% HPDI: S8=.815 +.016 -.021; systematics and full posterior covariance remain part of the likelihood","full Einstein–Boltzmann; CMB/LSS/lensing likelihood; covariance/systematics; independent sigma8 normalisation","complete incompatibility after a full observable and likelihood map kills the simplified-growth formulation; the sampled span alone does not permit STOP","FORMULATION_LEVEL","P05; EA-047; https://arxiv.org/abs/2503.19441","The current target and three conditional diagnostic outputs are distinct objects; the adopted sigma8_LCDM=.811 is a calibration input rather than a QCTS prediction."
"EC34","P06","effective CPL shadow","current v3.18 target w0=-.919 wa=-.612 for the exact accounting reconstruction; the pair has historical calculation provenance","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","SCOPE_NARROWED / RECALCULATION_OPEN","exact effective-shadow CPL projection","DESI DR2+CMB+DESY5 w0=-.752±.057 wa=-.86 +.23 -.20; marginalised 68% credible intervals with strong joint covariance","same CPL projection; joint w0-wa covariance; one background/data pipeline","robust joint exclusion after the same projection and a complete likelihood map kills the exact accounting reconstruction","FORMULATION_LEVEL","P06; 01 section 5.3; https://arxiv.org/abs/2503.14738","The target is a current v3.18 commitment rather than a new fit or posterior; w0 and wa must not be compared as independent Gaussian numbers and the comparator does not automatically kill fundamental fuel or all backgrounds."
"EC35","P07","sterile ash","exactly zero nongravitational signal in every experiment sensitive to derived ash parameters","OBSERVATIONAL_SURVIVAL_TARGET","SCOPED_OBSERVATIONAL_SURVIVAL_CONDITION","MICROPHYSICS_OPEN","sterile-ash identity","no bound until mass spin abundance lifetime and couplings are derived","particle model; abundance; detector response; attribution to the same component","a reproduced compatible nongravitational signal kills the sterile-ash formulation","FORMULATION_LEVEL_UNLESS_ASH_IDENTITY_EXHAUSTIVE","P07; Q19; Q31","A continuing null result only keeps the formulation alive."
"EC36","P08","exact n_s-w relation","no current target","OPEN_NO_KILL_WINDOW","WITHDRAWN_NO_CURRENT_CONDITION","WITHDRAWN","historical formula","none","a new independent derivation would have to create a new current commitment","the withdrawn formula may neither kill nor rescue a current track","NONE","P08; Q21; Q22","Historical agreement has no current evidential weight."
"EC37","P09","time drift of delta","benchmark delta(a)=.02297; no derived drift interval","CALIBRATION_BENCHMARK","CALIBRATION_BENCHMARK","NOT_YET_AVAILABLE","constant-delta ansatz","none","derive delta(a) or delta(x); source dynamics; observable map; frozen uncertainty","no death verdict about drift is currently permitted","NONE_NOW","P09; Q2; Q27","A constant benchmark is not a measurable drift window."
"EC38","process exclusions","numbers that must not become physical kill conditions","60/100 50/100 10/10 45/45 10 WAITING/0 EXCLUDED; solver tolerances; grid sizes; runtimes; package counts; K_MPC=.05; CMB-S4 forecast r>0.003/r<0.001","OPEN_NO_KILL_WINDOW","NOT_A_SCIENTIFIC_SURVIVAL_CONDITION","EXCLUDED_FROM_PHYSICS_VERDICT","process numerics release historical convention and future forecast","none","on failure perform technical audit; preserve withdrawn K_MPC provenance; distinguish forecast from measurement","failure means TECHNICAL_REVIEW or PROCESS_REVIEW; a forecast alone is never a current physical STOP","NONE","01 sections 5.2 and 9; 03 sections 3–5; https://arxiv.org/abs/2008.12619","A score is not a truth probability a numerical tolerance is not tolerance of a physical law and a forecast is not a measurement."
"EC39","legacy growth normalisation","frozen diagnostic inputs","x0=-ln(1001); d=e^x0; Theta=-d; sigma8=.811 D/D_LCDM; h_ref=.673","CALIBRATION_BENCHMARK","CALIBRATION_BENCHMARK","CONDITIONAL_ONLY","PT1 simplified H0/S8 diagnostic","no direct death bound","same lineage; complete perturbations must replace the simplifications","failure invalidates the diagnostic rather than the theory","NONE_BEYOND_FORMULATION","01 sections 6.2–6.3; EA-047","These values must not be counted as independent predictions."
"EC40","PT1 frozen input vector","legacy background constants","c=299792.458 km/s; omega_b=.02237; omega_m=.1430; omega_gamma=2.469e-5; N_eff,std=3.046; z*=1089.9; h in [.55,.80]","CALIBRATION_BENCHMARK","CALIBRATION_AND_NUMERICAL_INPUT","CONDITIONAL_ONLY","EA-047 legacy diagnostic","none","units; provenance; distinguish P01 N_eff=3.045 from EA-047 3.046","an input error invalidates the PT1 raw; not a physical STOP","NONE","EA-047 V1 contract","The 3.045 versus 3.046 difference belongs to two frozen historical calculations and must not be silently canonicalised."
"EC41","historical scale","K_MPC","K_MPC=.05 Mpc^-1 was an inserted Fourier mode/pivot","MECHANISM_READING","WITHDRAWN_INTERPRETATION","PROVENANCE_CORRECTED","old K7 runner","the common CMB pivot .05 Mpc^-1 is only a plausible convention not documented code intent","lineage audit; distinguish perturbative k from background and velocity","using it as a background or fundamental network scale invalidates that formulation","NONE_FOR_VALUE_ITSELF","01 section 5.2; 03 section 8; EA-20260717-004","The .05 value is not ash velocity a physical constant or a survival target."
"EC42","A2-K4/Landau","planar Landau admissible region","in the interface-adapted 1+1 orthonormal frame E=T^(00) q=T^(0n) P_n=T^(nn) S=E+P_n; q!=0: |S|>2|q| and a unique subluminal root evaluated with the stable rationalized form v_L=2q/[S+sgn(S)sqrt(S^2-4q^2)]; q=0: S!=0 and v_L=0; always Type-I simple timelike eigenvalue transverse nondegeneracy future orientation smooth neighbourhood","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_RANGE_ONLY","Q1R6 midpoint source packet on the regular Landau domain","no observational tolerance","complete frozen Z0; sign convention; full tensor; owner current reservoir and guards","failure excludes the evaluated source packet or Landau formulation; missing complete Z0 does not kill A2-K4","FORMULATION_LEVEL","tracks/A1/A1K1/A2/A2K4/HISTORY/00_EVENT_LEDGER.md lines 18822–18834 and task538A lines 19137–19147","NO_LANDAU_PASS; NO_PHYSICAL_EMPTY_OR_NONEMPTY_RANGE; the numerically stable expression is not proof of dynamical stability; the accepted result is precisely range-only."
