"condition_id","domain","quantity_or_condition","required_value_or_range","canonical_class","subtype_v3_18","status_v3_18","scope","external_reference_at_cutoff","comparison_prerequisites","impact_if_not_satisfied","possible_theory_life_impact","evidence_or_cross_reference","mandatory_nonclaim"
"EC11","stabilita","zdravý lineárny systém","žiadny ghost; žiadna neprípustná gradientová nestabilita; žiadny povinný exponenciálne rastúci mód mimo fyzického rastu štruktúr","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","PARTIAL_PRINCIPAL_SYMBOL_ONLY","každá A2 koľaj","žiadna jedna univerzálna číselná medza","kinetická matica; charakteristiky; super/subhorizontové módy; celý časový rozsah; fyzické normy","dokázaný neodstrániteľný ghost alebo nestabilita zabíja formuláciu/koľaj","POTENTIAL_TRACK_LEVEL","01 §§6.1 a 9.2; 03 §4","High-k principal symbol bez rastúceho koreňa nie je úplná no-ghost veta."
"EC12","limity","správne nulové a štandardné limity","PT1 diagnostický comparator lambda=delta=Delta N_eff=0; oddelene lambda->0; k/(aH)->0 a ->infinity; perfect-radiation a relevantné GR/LambdaCDM limity bez diskontinuity","EXACT_PHYSICAL_LAW","EXACT_LIMIT_REQUIREMENT","PARTIAL","každá formulácia podľa svojho contractu","žiadna tolerancia okrem explicitnej aproximačnej a numerickej chyby","predregistrované limity; rovnaké premenné; bez zmeny konvencie; analytika plus numerika","nesprávny povinný limit zabíja presnú formuláciu","FORMULATION_LEVEL","01 §§5–6; PT1 §6.2; 03 §§3–4","PT1 triple-zero je diagnostický comparator konkrétneho výpočtu; nie je nulovým limitom celej KBTP ani automaticky plným LambdaCDM."
"EC13","gravitácia","obnova pozorovanej gravitácie","Newton 1/r^2 v slabom poli a následne GR/PPN/lensing v ich validovaných doménach","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NEWTON_GRAPH_COMPARATOR_ONLY","makroskopický gravitačný limit","experimentálne medze sú testovo a modelovo špecifické a vo v3.18 nie sú zbalené do jedného čísla","continuum akcia/metrika; univerzálne G; PPN; lensing; gravitačné vlny; EP","nesúlad v jednej aproximácii zabíja danú gravitačnú realizáciu; úplné zlyhanie všetkých realizácií by bolo theory-level","POTENTIAL_THEORY_LEVEL_AFTER_EXHAUSTION","01 §§4.8 a 7.7; Q32","Grafový fit 1/r^2 nie je odvodenie Einsteinových rovníc."
"EC14","hmota/SM","obnova obyčajnej hmoty a validovaných kvantových polí","existencia stabilnej hmoty; správne kvantové čísla; lokálna QFT/SM limita v testovaných energiách","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","matter/ash/steam/scar ontology","žiadna jedna agregovaná tolerancia","mikrofyzický operátor; symetrie; hmotnosti; väzby; štatistika; laboratórne observables","nezlučiteľnosť konkrétnej mapy zabíja tú mapu; nemožnosť akejkoľvek SM limity by ohrozila celú teóriu","POTENTIAL_THEORY_LEVEL_AFTER_EXHAUSTION","01 §§1–2 a 7.4; Q31","Backgroundový popol ani grafový zhluk nie sú dôkazom vzniku častíc Standard Modelu."
"EC15","jazva/kvantový sektor","fyzicky prípustná ireverzibilná mapa","CPTP; zachovanie stopy; no-signalling; pri deklarovanej ireverzibilite Delta S>=0 v presnom scope","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","TOY_SCOPE_ONLY","jazva/doména I a measurement reading","žiadna tolerancia pre trace alebo positivity; entropy claim je stavovo a mapovo podmienený","explicitný register; mikroskopický operátor; všetky vstupy; Bornovo pravidlo; kauzálnosť","porušenie CPTP/trace/no-signalling zabíja danú mapu; entropy failure zabíja iba deklarovanú monotónnu formuláciu","FORMULATION_LEVEL_UNLESS_EXHAUSTIVE","01 §2.1; Q8","Toy dephasing test nedokazuje kolaps vlnovej funkcie ani šíp času."
"EC16","observačná úplnosť","spoločná kompatibilita s dátami","jedna sada parametrov a funkcií musí prejsť BBN+CMB+BAO+LSS+lensing a relevantné lokálne testy","OBSERVATIONAL_SURVIVAL_TARGET","OBSERVATIONAL_EXISTENCE_CONDITION","NOT_YET_TESTABLE_FULL","celá kozmologická realizácia","neexistuje poctivý jediný obdĺžnikový interval","úplná A2/A3 pipeline; frozen datasety; joint likelihood; teoretické neistoty; covariance; systematics; calibration/validation split","prázdny spoločný observačný prienik zabíja presnú realizáciu; globálny prázdny prienik po vyčerpaní alternatív zabíja teóriu","POTENTIAL_THEORY_LEVEL_AFTER_CERTIFIED_GLOBAL_EMPTY_SET","01 §§6 a 12; 03 §§1.1 a 4","Samostatná zhoda H0 S8 alebo N_eff nie je spoločná kompatibilita."
"EC17","sieťová geometria","stredná konektivita","<k>=48 pi^2/35+2≈15.535; historické simulácie 15.58 a 15.32–15.54","MECHANISM_READING","MECHANISM_READING","HISTORICAL_SUPPORT","Poisson–Delaunay comparator a delením rastúca sieť","žiadna priama observačná medza","nezávislá rastúca sieť; finite-size a anisotropy kontrola; continuum limit","nesúlad zabíja identifikáciu konkrétnej geometrie; nie celú KBTP","FORMULATION_LEVEL","01 §4.1","Simulačné čísla nie sú kozmologické meranie."
"EC18","bunková kapacita","kapacita C","C=16_gluon+8_EW+4_Higgs=28; štyri reálne Higgsove smery už zahŕňajú tri would-be Goldstone smery","MECHANISM_READING","MECHANISM_READING","LOOK_ELSEWHERE_ACKNOWLEDGED","presná identifikácia kapacity","žiadna priama observačná medza","nezávislé odvodenie zo symetrie alebo akcie; pevná fázová/gauge konvencia; zdôvodnenie bosónového výberu a vylúčenia fermiónov; look-elsewhere korekcia","neúspech zabíja C=28 identifikáciu a odvodenia ktoré na nej nutne stoja","FORMULATION_LEVEL","01 §4.3; Q16; Q28","Aritmetika 16+8+4=28 je v obnovenej elektroslabej fáze konzistentná a Goldstone smery sa nepridávajú druhý raz; fyzikálne stotožnenie tohto bosónového počtu s kapacitou bunky však nie je odvodené."
"EC19","delenie/fluid","réžia delta","mean-field vetva: delta_mean=1/(<k>+C)=0.0229697827528021; lokálne priemerovaná vetva: delta_loc=<1/(k+C)> >= delta_mean, striktne pre nedegenerované P(k)","CALIBRATION_BENCHMARK","CONDITIONAL_MECHANISM_READING","FROZEN_BENCHMARK / COARSE_GRAINING_BRANCH_OPEN","presný geometry-to-fluid bridge","Planck ns comparator je 0.9649±0.0042 iba pre P02 mapu","nezávislé odvodenie C; výber fyzického priemerovania; úplné P(k) alebo kontrolované momenty; micro-to-fluid mapa; potom observables","algebraický nesúlad je rozpor; observačný nesúlad zabíja presný bridge až po kompletnej mape","FORMULATION_LEVEL","01 rovnice 1–3 a 5–7; P09","delta_loc=delta_mean+Var(k)/(<k>+C)^3-mu_3/(<k>+C)^4+...; pri <k>=15.5354574643511 a C=28 je vedúci variačný koeficient 1.2119108203766e-5. Bez P(k) alebo kontrolovaných momentov nemožno poctivo dopočítať číselné delta_loc."
"EC20","primárne poruchy","exponent m","m=1/2 v aktuálnom presnom delta/m=1/2 skalárnom mechanizme; hodnota má historickú mechanistickú a výpočtovú provenienciu","MECHANISM_READING","MECHANISM_READING","NOT_DERIVED","presný aktuálny delta/m=1/2 skalárny mechanizmus; prediction link P02","Planck ns comparator 0.9649±0.0042 pri 68% CL","gauge-invariantný source; P_zeta; amplitúda; Gaussianity; isocurvature; running","neúspech zabíja presný m=1/2 mechanizmus; nie všetky zdroje porúch","FORMULATION_LEVEL","01 §6.5; P02","m=1/2 nie je veta a nesmie byť zachránené dodatočným fitom."
"EC21","background","bookkeeping normalizácia A_f","A_f=7809.270101963506 pri lambda=.15 delta=.02297 Omega_m0=.3517 h=.6637 flat x_ref=-18","CALIBRATION_BENCHMARK","CALIBRATION_BENCHMARK","CONDITIONAL_REPRODUCED","zmrazený A1 pracovný bod","žiadna priama observačná medza","presne rovnaké vstupy a closure; nezávislá numerická reprodukcia","aritmetické zlyhanie invaliduje túto normalizáciu; fyzický nesúlad zabíja iba frozen closure","FORMULATION_LEVEL","01 §5.2; EA-20260717-004","A_f nie je nový fit ani konštanta prírody."
"EC22","front signálu","exponent drsnenia","chi≈0.26–0.32<1; potom sigma/R smeruje k 0 v modelovom scalingu","MECHANISM_READING","HISTORICAL_NUMERICAL_SUPPORT","DERIVED_WITHIN_SIMULATED_GRAPH","konkrétny rastový graph process","žiadna priama relativistická medza","väčšie N; analytická/continuum limita; mapovanie na fyzický signál","chi>=1 zabíja sublineárne ostrenie pre daný proces; nie kauzalitu celej teórie","FORMULATION_LEVEL","01 §4.4; Q6","Výsledok nedokazuje fyzický svetelný kužeľ ani Lorentzovu invarianciu."
"EC23","V-links","klasické pravidlo a historické fit čísla","nV_new=.5 nV_old+.5 C; nV*=C; std/mean≈.13; boundary weight≈R^1.97","MECHANISM_READING","HISTORICAL_NUMERICAL_SUPPORT","OPEN_QUANTUM_MAP","konkrétne klasické update rule","žiadna priama observačná medza","nezávislá kvantová mapa; continuum limit; robustnosť voči sieti","nesúlad zabíja pravidlo alebo fit v jeho scope","FORMULATION_LEVEL","01 §4.7","Fixný bod klasického pravidla nie je kvantová veta."
"EC24","gravitácia","Newtonov grafový comparator","|g(r)| proportional 1/r^2; historické R^2≈.9991 a .9996","CONDITIONAL_MODEL_OUTPUT","HISTORICAL_NUMERICAL_SUPPORT","SCOPE_NARROWED","presné simulované graph observables","žiadna priama PPN medza","independent rerun; finite-size; continuum; potom EC13","neúspech zabíja konkrétny comparator; nie GR limit celej teórie","FORMULATION_LEVEL","01 §4.8","R^2 blízke 1 nie je pravdepodobnosť pravdivosti ani odvodenie G."
"EC25","A2-K4","superhorizontová algebra","P_SH(s)=s^3(s+2)^2(s+3)[s^2+(5-3delta)s+12-6delta]; tri exact zero roots","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_G5_SCOPE","zamrazený superhorizontový K4 operátor","žiadna observačná tolerancia","rovnaké znamienka; stavové poradie; gauge; adiabatic/NIV seeds; exact polynomial audit","polynomial mismatch invaliduje checkpoint; neprípustný mód môže zabiť formuláciu po science audite","FORMULATION_OR_TRACK_LEVEL","01 §9.2 A2-K4.1","Starý seed residual 0.978949 bol dôvod odmietnuť seed nie koľaj."
"EC26","A2-K4","high-k principal symbol","P_high-k(mu)=mu^4(mu^2+1)(mu^2+1/3); speeds 1 a 1/sqrt(3); bez rastúceho K4 koreňa v scope","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_G6_SCOPE","zamrazený high-k principal symbol","žiadna observačná tolerancia","full kinetic matrix; subleading terms; celý čas; správne normy","kladný rastúci root v rovnakom operátore invaliduje checkpoint a môže zabiť formuláciu","FORMULATION_OR_TRACK_LEVEL","01 §9.2 A2-K4.2","Výsledok nie je úplná no-ghost ani globálna stabilitná veta."
"EC27","A2-K4","statické Einsteinove rezíduá","R00=R0i=Rtr=Rtl=0 presne","CONDITIONAL_MODEL_OUTPUT","EXACT_SCOPED_RESULT","ACCEPTED_STATIC_SCOPE","P5.1–P5.2 static reconstruction","žiadna tolerancia mimo roundoff","nezávislé rovnice; rovnaký state; dynamická evolúcia oddelene","nenulová exact algebra invaliduje checkpoint; dynamický drift sa súdi samostatne","FORMULATION_LEVEL","01 §9.2 P5.1–P5.2","Štyri statické nuly nie sú štyri nezávislé observačné potvrdenia."
"EC28","A2-K4","P5.3 whole-map diskriminácia pred dôkazom spoločného lokálneho operátora","najprv complete A_Q(Z) s aspoň jedným certifikovaným Q; potom zdrojovaná actual X_Z alebo dokázane neprázdna P1-P2 úplná A_X(Z,Q); až potom A_K(Z)={(Q,X,ker X)} a klasifikácia ker X={0} verzus nenulový fyzický kernel witness alebo dokázane zmiešaná úplná rodina","EXACT_PHYSICAL_LAW","OPEN_EXISTENCE_GATE","NOT_PROVED / PROCESS_COVERAGE_10_WAITING_0_EXCLUDED","P5.3 per-state tangent-map subgate; nie úplný global-operator witness","žiadna observačná medza","complete overlap-resolved Q_Z; sourced actual whole X_Z alebo dokázane neprázdna P1-P2 úplná family; linearita; locality/local naturality; covariance; units; causal support; smoothness; generator provenance; descent cez V_rel; W1-W4 iba s úplným overlap/image-independence dôkazom","bez N1/N2 je stav WAITING a kernel sa neinferuje. Nenulový fyzický kernel witness vylučuje iba presný PK1/I0 scope; injektivita iba povoľuje E_N a ďalšie brány; mixed family ostáva WAITING. Žiadny kernel nie je prázdny a samotná klasifikácia nezabíja ani nedokazuje celé A2-K4","POTENTIAL_FORMULATION_SUBSCOPE","01 §9.2 P5.3; 03 §9; route event ledger N1-N3; current process coverage 10 WAITING / 0 EXCLUDED","Každý kernel obsahuje nulu. Definícia A_Q A_X alebo A_K sama nedokazuje člena ani jeden globálny local-natural operátor na celej doméne. 10 WAITING / 0 EXCLUDED 10/10 a 45/45 sú procesné coverage počty, nie fyzický witness."
"EC29","P01+P11","spoločná termálna parná formulácia","pri g_x=2 g_*s,nu=10.75 g_*s,dec=106.75: Delta N_eff=.0535; N_eff≈3.10; T≈.905 K; peak≈53 GHz","OBSERVATIONAL_SURVIVAL_TARGET","CONDITIONAL_OBSERVATIONAL_SURVIVAL_TARGET","SOURCE_HISTORY_OPEN","jedna dvojpolarizačná skoroodpojená formulácia; P01 a P11 sú jeden záväzok","Planck+BAO single-parameter extension: N_eff=2.99±.17 pri 68% CL","C_s^mu; branching; decoupling; exit/reheating; survival; BBN/CMB likelihood; source-to-spectrum; detector response","robustné vylúčenie zabíja presnú termálnu formuláciu; teóriu iba po vyčerpaní všetkých steam realizácií","FORMULATION_LEVEL","P01; P11; 01 §5.4; https://arxiv.org/abs/1807.06209","Delta N_eff N_eff T a peak nie sú štyri nezávislé potvrdenia. Hodnota 10.75 je štandardný entropický referenčný vstup nie nová predikcia KBTP."
"EC30","P02","skalárny sklon","current v3.18 mantinel n_s=.9656±.0016 pre presný delta/m=.5 mechanizmus; hodnota má historickú výpočtovú provenienciu","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","presný delta/m=.5 skalárny mechanizmus","Planck: n_s=.9649±.0042 pri 68% CL","gauge-invariantný P_zeta; amplitude; Gaussianity; isocurvature; running; frozen likelihood","robustné vylúčenie po úplnej observable mape zabíja presný delta/m=.5 skalárny mechanizmus","FORMULATION_LEVEL","P02; 01 §6.5; https://arxiv.org/abs/1807.06211","Mantinel je current záväzok v3.18, nie current posterior; jeho ±.0016 sa nesmie zameniť za Planck neistotu."
"EC31","P03","tenzorový pomer","current v3.18 ostrý mantinel r<1e-10; oddelený praktický marker širšej termálnej realizácie r>=1e-3; oba majú historickú výpočtovú provenienciu","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","ostrý odhad a širšia termálna tenzorová realizácia","BICEP/Keck BK18: r_0.05<.036 pri 95% CL; CMB-S4 forecast-only: detekcia r>0.003 pri >5 sigma alebo r<0.001 pri 95% CL bez detekcie","complete tensor operator; source; normalization; pivot convention; B-mode likelihood and systematics","po úplnej tensor-to-observable mape r>=1e-10 zabíja ostrý odhad a r>=1e-3 širšiu termálnu realizáciu; širšia teória až po vyčerpaní alternatív","FORMULATION_LEVEL","P03; https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.151301; https://arxiv.org/abs/2008.12619","Rozsah 1e-10<=r<1e-3 ruší ostrý odhad bez automatického splnenia širšej kill condition; CMB-S4 je forecast a nie current kill condition."
"EC32","P04","Hubbleova konštanta","current v3.18 mantinel 66.4±.4 km/s/Mpc; oddelené PT1 podmienené diagnostické body Delta N_eff {0 0.02675 0.0535} -> H0 {65.79213819466531 66.08320294879377 66.37433224357665} km/s/Mpc; hodnoty majú historickú výpočtovú provenienciu","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_PLUS_CONDITIONAL_OUTPUTS_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","zmrazená background formulácia","Planck 2018 base-LambdaCDM 67.4±.5 pri 68% confidence; SH0ES 2022 Cepheid-SN 73.04±1.04 published uncertainty vrátane systematík; Breuval et al. 2024 four-anchor Cepheid-SN 73.17±.86 published uncertainty; Chen-Wang 2026 seven-route covariance review 73.30±.92 km/s/Mpc published covariance-summary uncertainty; zdroje nemajú jednu spoločnú CL konvenciu","full A2/A3; sound horizon and recombination; selected independent datasets; joint likelihood; covariance/systematics; calibration split","kompletná nekompatibilita po úplnej observable a likelihood mape zabíja zmrazenú background formuláciu; tri diagnostické body samy nedovoľujú STOP","FORMULATION_LEVEL","P04; EA-047; https://arxiv.org/abs/1807.06209; https://arxiv.org/abs/2112.04510; https://arxiv.org/abs/2404.08038; https://arxiv.org/abs/2606.26831","Current mantinel a tri podmienené diagnostické výstupy sú odlišné objekty; body nie sú interval, likelihood fit ani riešenie Hubbleovej tenzie a konfliktné merania sa nesmú zliať do jedného hard okna."
"EC33","P05","zhlukovanie","current v3.18 mantinel S8=.86–.87; oddelené PT1 podmienené diagnostické body Delta N_eff {0 0.02675 0.0535} -> S8 {.8856095825403126 .8800254370658636 .874499891729803}; hodnoty majú historickú výpočtovú provenienciu","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_PLUS_CONDITIONAL_OUTPUTS_WITH_HISTORICAL_PROVENANCE","RECALCULATION_OPEN","zjednodušená rastová formulácia","KiDS-Legacy cosmic shear marginal mode a 68% HPDI: S8=.815 +.016 -.021; systematiky a plná posterior covariance zostávajú súčasťou likelihood","full Einstein–Boltzmann; CMB/LSS/lensing likelihood; covariance/systematics; independent sigma8 normalization","kompletná nekompatibilita po úplnej observable a likelihood mape zabíja zjednodušenú rastovú formuláciu; sampled span samostatne nedovoľuje STOP","FORMULATION_LEVEL","P05; EA-047; https://arxiv.org/abs/2503.19441","Current mantinel a tri podmienené diagnostické výstupy sú odlišné objekty; použité sigma8_LCDM=.811 je calibration input nie KBTP predikcia."
"EC34","P06","efektívny CPL tieň","current v3.18 mantinel w0=-.919 wa=-.612 pre presnú účtovnú rekonštrukciu; dvojica má historickú výpočtovú provenienciu","OBSERVATIONAL_SURVIVAL_TARGET","CURRENT_FORMULATION_SCOPED_SURVIVAL_TARGET_WITH_HISTORICAL_PROVENANCE","SCOPE_NARROWED / RECALCULATION_OPEN","presná effective-shadow CPL projekcia","DESI DR2+CMB+DESY5 w0=-.752±.057 wa=-.86 +.23 -.20; marginalizované 68% credible intervaly so silnou joint covariance","rovnaká CPL projekcia; joint w0-wa covariance; one background/data pipeline","robustné joint vylúčenie po rovnakej projekcii a úplnej likelihood mape zabíja presnú účtovnú rekonštrukciu","FORMULATION_LEVEL","P06; 01 §5.3; https://arxiv.org/abs/2503.14738","Mantinel je current záväzok v3.18, nie nový fit ani posterior; w0 a wa sa nesmú porovnať ako nezávislé Gaussovské čísla a comparator nezabíja automaticky fundamentálne palivo ani všetky backgroundy."
"EC35","P07","sterilný popol","presne nulový negravitačný signál v každom experimente citlivom na odvodené ash parametre","OBSERVATIONAL_SURVIVAL_TARGET","SCOPED_OBSERVATIONAL_SURVIVAL_CONDITION","MICROPHYSICS_OPEN","sterile-ash identity","žiadna medza kým nie sú odvodené mass spin abundance lifetime couplings","particle model; abundance; detector response; attribution to same component","reprodukovaný kompatibilný negravitačný signál zabíja sterile-ash formulation","FORMULATION_LEVEL_UNLESS_ASH_IDENTITY_EXHAUSTIVE","P07; Q19; Q31","Nulový výsledok iba ponecháva formuláciu živú."
